address, amount staked, amount to refund 
kujira1zwjpd7h690wag2cn239x4helr6p6knty3k2e8e, 3, XXX
kujira1u0w43dqwwxf8eqhntn46r8qrcshvce7qrzuu9r, 2, XXX
kujira1qvmpf9y7g8hqu68f5mq5w9fkdkjkv5jwgxd605, 131, XXX
kujira1nzdj0zaw0aqmt7g2jsdxnjfn0zh6nhza74egls, 8, XXX
kujira1xggylx7vs0fn26ehua0ztpsvjv553j7euw0gyn, 2, XXX
kujira1up7p4uhgzfzrk6fnqjes0wty9rv7q0yx9x0kgd, 101, XXX
kujira17l8jpfvnjkurzes9hw8k5ql2hly2kh7pkfmyht, 100, XXX
kujira1tdry23dspgsmp55zywtjgw0f57neevvwk2nuny, 99, XXX
kujira1488kv08va80uyw3rqm03dxapmgak6mx407yth2, 108, XXX
kujira194syj7k9z68ge37wrunp5lxt7yxzd93cjhwr4n, 723, XXX
kujira173q959a24s5lcmcdxw863ytxkyue4m7mcatkcq, 129, XXX
kujira1zqdptla9ex0aksezduvefehgvy64lmhn8vm5f7, 24, XXX
kujira1kdze9r6y8jx9ljjxrn3lzslwcw8vpx7phwmdvv, 99, XXX
kujira19sxaddfl8yvua6asf3gs8dszwvsemyj82pmke6, 99, XXX
kujira1swlt9pwquemlup8tfr5aqrtuwf90sj0auvqxa6, 100, XXX
kujira1pvcn0jjv2mugdevlue9vj2ks7ryjgtccqsv8fc, 99, XXX
kujira1m6rn7kghpkd72u6wtudjzqmzzgpzdvjp7wv0q6, 101, XXX
kujira1ydrskl8w27n3dyxzgl233uazpgxarerdgnf37q, 1, XXX
kujira1s0kaneuyhd0hs6fxn9hnls99kp5t5dsv8ljp9a, 154, XXX
kujira1vcm5zevcqmsp0e0fac5qgvxvsxdmh0gw0zla34, 1, XXX
kujira1xeqcukgelt9r0rlpmfrjusrdlfdhl5ca0d7h5c, 100, XXX
kujira196tq2xzaphu4d0e7wcr3yccjcyztnzw7davzkn, 99, XXX
kujira1sd2qegpgxq8wzg2evm93nscmz3ucxrmarghxna, 2, XXX
kujira16x2j8fty90kpryapl0txh6fr7r9vm6smwmzs77, 1, XXX
kujira14axh2qc54eyqlh9vt4cvjwap7m7tg87e5308uq, 32, XXX
kujira1s7k62zu8newvalp0u9a9x8mnn4yanz8ntdscug, 189, XXX
kujira155uatjarrsd62jug2h0je3v50j36jpr2a4ufst, 4, XXX
kujira1xmpawfttcjcnm4kygzrpstdz4kek30vlylvx0q, 102, XXX
kujira1dmh3wtjvdp3y28pj30vjt8vjndn89kw6gth2sq, 8, XXX
kujira1fee763uud0tt4mgearx7xayedqy4terc7kpuh6, 100, XXX
kujira17g2qm0atankjxhjdwzks3s9e3p42dxy47skfgl, 102, XXX
kujira1f76xe49h2l82yqaa648j764npwc2uj37prg7j3, 99, XXX
kujira108m4qkx5k26st6xex0d9620tw4fgdwrm6dssjt, 124, XXX
kujira1705m59l09ghgceudk79vhr00926qpyv4hmjev5, 100, XXX
kujira1uwenqayqm823g33nxnzguhtytq8erc48r5t5y5, 146, XXX
kujira1vmx85r4h6s6x33wa53kyusracrq6r3nuy2n4qe, 115, XXX
kujira1s3x0q84xc2pvadwpxksdtcft3y3ae5ztnnazph, 100, XXX
kujira10h8pkn4hm7s0e7t07yvs6uayrl88s0r7ysrwdu, 195, XXX
kujira1avvm2e3tq9dk0s68fzjqmfg42tp6l7zng0w6gd, 100, XXX
kujira1fu6ykl6pphpt4lrmqs78ms74x9rmkxd5tq2087, 1, XXX
kujira1s9hnn9p5ap80x9374mq38rxua7ruxqxthryc78, 99, XXX
kujira1uu7sv5kw9jx970jqyrh2rfsg7wr7kxzpultve2, 99, XXX
kujira1kjdsgh85kgyt49cpm9ur97sd5s560nt0f4y46g, 13, XXX
kujira1rz6ackm5p23evrw90el8j5376m625hdmvh94p3, 101, XXX
kujira126kv4x70s75mrkvmpvmq5p4prhd9ep6wgz3v4j, 99, XXX
kujira17ugzyyxsh5htj8hj7n0j99v7wcgja7ceddwh3y, 2, XXX
kujira17zjhp24g69gxvd8fhr76tmy70lapuy4pgznhrg, 100, XXX
kujira1e3gtve65cns2m3c4fvfae3fhqe0nr7887p8wq3, 2, XXX
kujira1jz7av7cq45gh5hhrugtak7lkps2ga5v02a4fk8, 24, XXX
kujira1n8j9xve22sh5arf2kfdtdde46udztadaxgjkrj, 100, XXX
kujira1amlrs57zsfe8gngvp22jah5w6uhxx4urjse422, 105, XXX
kujira1vk68vqht3kntmkvulma0ujnvzqlhnhn4frgua0, 100, XXX
kujira13uhl4tp3flplqpfnwjhz45req2wj2fjzyexhex, 199, XXX
kujira1tc8u5lm538spjm4sqlz0r5fwvaxvmruy476z02, 100, XXX
kujira14qc4rmffuymfm0l6pzyzn6emw9g348ace55fal, 10, XXX
kujira1fsygt0ftztx6av4gls895agf7388gche0na77s, 100, XXX
kujira1cpvejnv6ekwjjaqpde2uzd4y0xnpm3u4znth84, 99, XXX
kujira1edz0jjwle27syxwr90y9vn40tt2g8wxa5jk3l3, 106, XXX
kujira1vv082ym5h2sungsvtjgljxvgwmpyfe60y8vxtk, 99, XXX
kujira14er7ec5dz894gk0wk6uplyqd6lum3nr95fepyn, 101, XXX
kujira17zp8dxwj40kw0998gv6x4z669cl8dsj398ezku, 109, XXX
kujira1pynvf0cpaeysqkqrdd733ynuh96p43wytvu5fc, 19, XXX
kujira1lewrntjs242rlcvxq6hagpxteh2g80868wwt5s, 99, XXX
kujira1ydyg9uyynhyrpfg9rg9ap8glj3atsarfyej0ht, 1, XXX
kujira1rkfwwydm4zwm436m4m86dqpkfps3qxpq6mzehw, 99, XXX
kujira1gfgm82zp3k8804z4dlz0q4p6u2medw6qmr35hf, 100, XXX
kujira16j3ymvwfn7m3qvy782mslzj2aahkdz2v48srdh, 27, XXX
kujira1vezvslv7gx7ml7xlxaxu0u7ykhy8ttvdkpjfhj, 101, XXX
kujira1a7zgasrrnjaqnqgj74ma6mrqx96lfhtf6jtsjk, 100, XXX
kujira1m3aglv5tqmhw4ahwank28yea9ed6udfe2zf0aj, 100, XXX
kujira1kvg8medh838ec94gxdkf6ckedx77l8ftfhyuj3, 100, XXX
kujira1lgu66ly24wz0x95hkhuzny754hfm9pkupnxwdq, 118, XXX
kujira1y2rvdsc6xcm2jtg2p0jyg0j286yumft58d0p9m, 5, XXX
kujira1vsa8kl2gwqqqlv26r0w4mf5vf7u9y4mdr4fxgj, 22, XXX
kujira1uu9q0lcjrse7en59x5m88c94ef070sh8nzjr5r, 4, XXX
kujira1pqawqj4pr5tw38w4d45t47ce2vj09u5qp9v0pd, 102, XXX
kujira1lfnhfumkghshexewar7kvmc7ff63sz0j9j20wn, 100, XXX
kujira1emdpggt05ppuy67v9mxyqrd8gy2kkk5rk5q3dh, 99, XXX
kujira1sc7qz2uss36ceew49n4wfjpvmfjrn3lxfp208l, 100, XXX
kujira1qq9avn98wcmwkrkxqfdfmz95s9fxp6dg0zvc4p, 439, XXX
kujira1eqhexdtptfsgyz0m9efg8s8v5vcmsknxfhvkuy, 100, XXX
kujira1vzxt2akmr76ddg7epxklnwmdjz5m04l3da5dkc, 102, XXX
kujira1ct5jdjxwcs2whefy4c4dpuc0t3vuv7ks3s43th, 104, XXX
kujira1yk0gjzdugnmftysf2hf3zz23pednfetr6c74pv, 49, XXX
kujira16q9tcfak9d5tkqxvlkj9prcq3hwazkvc6dxedv, 101, XXX
kujira18fzene4sxx7t4852lhwyhwhan9h4yjrsdj4czd, 27, XXX
kujira17lp0xs8aauzn6dcs606lk6mwtd894q0j6l4yxr, 101, XXX
kujira16mcugkhrt8m30ctrnyfwmdt7gcp0unupk36hu6, 1, XXX
kujira1pnyrx2jjksuuuzu03rr2hwkz5r7ecuua3sqfh0, 100, XXX
kujira1pqh9dn3h846l3xm7l9hmte0ja7tk475xq8an55, 1, XXX
kujira1e8ls9qgznqe4qk27c7lcmrmqtuzz89qcfakmly, 100, XXX
kujira15kzerjgs7vf9k507c03r47yr8kmjcmesrk3w6j, 99, XXX
kujira1gtqlqh9ajc386k9deftddj5k5703hlfpr8hyqc, 199, XXX
kujira1j24l07l9kjnzucgj20wjwxpq6xdumywv7s69td, 99, XXX
kujira1apk5qapp7hfqe4jdlcfkypcxwpx6t8zef8yhdk, 3, XXX
kujira18qs69kefuwr8zfvm4evgungzyv690snjwtkur2, 99, XXX
kujira1xkf9vy536ct23pg9aumsrg58x2kw9y24xfhuk9, 500, XXX
kujira1xdka5dczhqclc927egfcurc7thvasyus3h43a3, 1, XXX
kujira1hu3egvrckvf3l3c0rs2lcs6ec4js4gsn92969q, 234, XXX
kujira16j3rkn6ajwmjnv9s9zc79s87h9ntxdj9ph3y0t, 100, XXX
kujira10rw7vwqcwpcry8apuq70vews9ggxgnukmq49ky, 54, XXX
kujira1403d0y06vm5xtz86cxsx87d7tgxggeya58yghe, 119, XXX
kujira1lzed3f2tp0xty2w55ytlumv0p732dgr760cklm, 99, XXX
kujira14j5lspksq9vwuyp6y0vlqn9mnzftj0rawa9yyf, 99, XXX
kujira1mjrvpseqqj98ep0xxpvxf7vrw7a6weg5ej5fqg, 99, XXX
kujira1s9e5f49ynl664ny45cuckyhyvcx5hyaj555gef, 104, XXX
kujira1shrj7ph96ue3drahama5q48l975mn2wygu3njj, 4, XXX
kujira12mhaeqsq7dlyxvlr6alh927f8rwyj78qy0hjk5, 100, XXX
kujira17070wwjhlurczgm9658k7p9a8ds08shjj7c03j, 109, XXX
kujira1m806kg5093nqhuxnfkjpu7v7g7pcr7yadhpe7d, 4, XXX
kujira1f6lfrehfsrtj2zz4tyg2n85z49wydle2jgl3jg, 7, XXX
kujira1l4mlqwv62hjvxw3fjwk5xtulfar06crnhm9ut2, 1, XXX
kujira1839jrqs3yggjf7eyxjmxu8aeuu8qw74qq7l6ws, 1, XXX
kujira1w4f9kv7zkhkklz3n7t9w2zz82cd5wuu9kptqpl, 49, XXX
kujira1qpkx900d207r49xwu3jltq3u2ad57fprpdxdtk, 1, XXX
kujira1saj00zca6c675ntjl5p0awcnvep97w0dm4a396, 1389, XXX
kujira1q2yjru58ap4l67g3w6ngtyspkk5edrz94wv5mq, 99, XXX
kujira1ens8hvwve26lesh3cp4ntapmefs4kk7gurk8vq, 100, XXX
